,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection
1885057,2018-12-16T18:02:44.700,79.43,24.84,3.59,1.04,0.36,293.3,290.85,None,32386.0,Mason Crosby,2.0,K,away,1,2018121603,35,left
1885058,2018-12-16T18:02:44.800,79.08,24.98,3.81,1.06,0.38,292.57,290.71,None,32386.0,Mason Crosby,2.0,K,away,2,2018121603,35,left
1885059,2018-12-16T18:02:44.900,78.71,25.12,4.0,1.0,0.4,293.51,290.41,None,32386.0,Mason Crosby,2.0,K,away,3,2018121603,35,left
1885060,2018-12-16T18:02:45.000,78.32,25.26,4.13,0.97,0.41,296.78,289.85,None,32386.0,Mason Crosby,2.0,K,away,4,2018121603,35,left
1885061,2018-12-16T18:02:45.100,77.91,25.4,4.35,1.06,0.43,293.15,288.75,None,32386.0,Mason Crosby,2.0,K,away,5,2018121603,35,left
1885062,2018-12-16T18:02:45.200,77.49,25.53,4.48,0.88,0.44,292.47,287.88,None,32386.0,Mason Crosby,2.0,K,away,6,2018121603,35,left
1885063,2018-12-16T18:02:45.300,77.06,25.67,4.56,0.67,0.45,293.87,286.91,None,32386.0,Mason Crosby,2.0,K,away,7,2018121603,35,left
1885064,2018-12-16T18:02:45.400,76.62,25.79,4.57,0.68,0.46,296.14,285.29,None,32386.0,Mason Crosby,2.0,K,away,8,2018121603,35,left
1885065,2018-12-16T18:02:45.500,76.18,25.9,4.51,1.01,0.45,297.17,283.5,None,32386.0,Mason Crosby,2.0,K,away,9,2018121603,35,left
1885066,2018-12-16T18:02:45.600,75.75,26.0,4.38,1.49,0.44,299.24,281.98,None,32386.0,Mason Crosby,2.0,K,away,10,2018121603,35,left
1885067,2018-12-16T18:02:45.700,75.32,26.08,4.26,1.81,0.43,299.24,279.87,kickoff,32386.0,Mason Crosby,2.0,K,away,11,2018121603,35,left
1885068,2018-12-16T18:02:45.800,74.91,26.14,4.12,1.93,0.42,299.24,278.02,None,32386.0,Mason Crosby,2.0,K,away,12,2018121603,35,left
1885069,2018-12-16T18:02:45.900,74.51,26.19,3.97,1.98,0.41,296.16,276.14,None,32386.0,Mason Crosby,2.0,K,away,13,2018121603,35,left
1885070,2018-12-16T18:02:46.000,74.12,26.22,3.83,1.97,0.39,293.95,273.98,None,32386.0,Mason Crosby,2.0,K,away,14,2018121603,35,left
1885071,2018-12-16T18:02:46.100,73.74,26.24,3.71,1.7,0.38,292.86,272.97,None,32386.0,Mason Crosby,2.0,K,away,15,2018121603,35,left
1885072,2018-12-16T18:02:46.200,73.37,26.26,3.62,1.38,0.37,291.74,272.49,None,32386.0,Mason Crosby,2.0,K,away,16,2018121603,35,left
1885073,2018-12-16T18:02:46.300,73.01,26.28,3.55,1.11,0.36,289.73,272.96,None,32386.0,Mason Crosby,2.0,K,away,17,2018121603,35,left
1885074,2018-12-16T18:02:46.400,72.66,26.3,3.5,1.02,0.35,288.14,274.72,None,32386.0,Mason Crosby,2.0,K,away,18,2018121603,35,left
1885075,2018-12-16T18:02:46.500,72.31,26.34,3.55,1.24,0.35,282.44,278.22,None,32386.0,Mason Crosby,2.0,K,away,19,2018121603,35,left
